country,name,full_name,symbol,currency,class,market
united states,NQ US Small Cap Gold Mining,NASDAQ US Small Cap Gold Mining,NQUSS1777,USD,other_indices,global_indices
united states,NQ US Mid Cap Medical Equipment,NASDAQ US Mid Cap Medical Equipment,NQUSM4535,USD,other_indices,global_indices
united states,NQ US Mid Cap Publishing,NASDAQ US Mid Cap Publishing,NQUSM5557,USD,other_indices,global_indices
united states,NQ US Mid Cap Retail REITs,NASDAQ US Mid Cap Retail REITs,NQUSM8672,USD,other_indices,global_indices
united states,NQ US Mid Cap Travel & Leisure,NASDAQ US Mid Cap Travel & Leisure,NQUSM5700,USD,other_indices,global_indices
united states,NQ US Mid Cap Restaurants & Bars,NASDAQ US Mid Cap Restaurants & Bars,NQUSM5757,USD,other_indices,global_indices
united states,NQ US Mid Cap Real Estate Investment Trusts,NASDAQ US Mid Cap Real Estate Investment Trusts,NQUSM8670,USD,other_indices,global_indices
united states,NQ US Mid Cap Real Estate Investment & Services,NASDAQ US Mid Cap Real Estate Investment & Services,NQUSM8630,USD,other_indices,global_indices
united states,NQ US Mid Cap Real Estate,NASDAQ US Mid Cap Real Estate,NQUSM8600,USD,other_indices,global_indices
united states,NQ US Mid Cap Life Insurance,NASDAQ US Mid Cap Life Insurance,NQUSM8570,USD,other_indices,global_indices
united states,NQ US Mid Cap Reinsurance,NASDAQ US Mid Cap Reinsurance,NQUSM8538,USD,other_indices,global_indices
united states,NQ US Mid Cap Property & Casualty Insurance,NASDAQ US Mid Cap Property & Casualty Insurance,NQUSM8536,USD,other_indices,global_indices
united states,NQ US Mid Cap Nonlife Insurance,NASDAQ US Mid Cap Nonlife Insurance,NQUSM8530,USD,other_indices,global_indices
united states,NQ US Mid Cap Insurance,NASDAQ US Mid Cap Insurance,NQUSM8500,USD,other_indices,global_indices
united states,NQ US Mid Cap Banks,NASDAQ US Mid Cap Banks,NQUSM8300,USD,other_indices,global_indices
united states,NQ US Mid Cap Financials,NASDAQ US Mid Cap Financials,NQUSM8000,USD,other_indices,global_indices
united states,"NQ US Mid Cap Gas, Water & Multiutilities","NASDAQ US Mid Cap Gas, Water & Multiutilities",NQUSM7570,USD,other_indices,global_indices
united states,NQ US Mid Cap Conventional Electricity,NASDAQ US Mid Cap Conventional Electricity,NQUSM7535,USD,other_indices,global_indices
united states,NQ US Mid Cap Electricity,NASDAQ US Mid Cap Electricity,NQUSM7530,USD,other_indices,global_indices
united states,NQ US Mid Cap Utilities,NASDAQ US Mid Cap Utilities,NQUSM7000,USD,other_indices,global_indices
united states,NQ US Mid Cap Telecom,NASDAQ US Mid Cap Telecom,NQUSM6000,USD,other_indices,global_indices
united states,NQ US Mid Cap Recreational Services,NASDAQ US Mid Cap Recreational Services,NQUSM5755,USD,other_indices,global_indices
united states,NQ US Small Cap Industrials,NASDAQ US Small Cap Industrials,NQUSS2000,USD,other_indices,global_indices
united states,NQ US Small Cap Pharmaceuticals,NASDAQ US Small Cap Pharmaceuticals,NQUSS4577,USD,other_indices,global_indices
united states,NQ US Small Cap Building Materials & Fixtures,NASDAQ US Small Cap Building Materials & Fixtures,NQUSS2353,USD,other_indices,global_indices
united states,NQ US Small Cap Food Retailers & Wholesalers,NASDAQ US Small Cap Food Retailers & Wholesalers,NQUSS5337,USD,other_indices,global_indices
united states,NQ US Small Cap Food & Drug Retailers,NASDAQ US Small Cap Food & Drug Retailers,NQUSS5330,USD,other_indices,global_indices
united states,NQ US Small Cap Retail,NASDAQ US Small Cap Retail,NQUSS5300,USD,other_indices,global_indices
united states,NQ US Small Cap Consumer Services,NASDAQ US Small Cap Consumer Services,NQUSS5000,USD,other_indices,global_indices
united states,NQ US Small Cap Biotechnology,NASDAQ US Small Cap Biotechnology,NQUSS4573,USD,other_indices,global_indices
united states,NQ US Small Cap Pharmaceuticals & Biotechnology,NASDAQ US Small Cap Pharmaceuticals & Biotechnology,NQUSS4570,USD,other_indices,global_indices
united states,NQ US Small Cap General Retailers,NASDAQ US Small Cap General Retailers,NQUSS5370,USD,other_indices,global_indices
united states,NQ US Small Cap Medical Supplies,NASDAQ US Small Cap Medical Supplies,NQUSS4537,USD,other_indices,global_indices
united states,NQ US Small Cap Health Care Providers,NASDAQ US Small Cap Health Care Providers,NQUSS4533,USD,other_indices,global_indices
united states,NQ US Small Cap Health Care Equipment & Services,NASDAQ US Small Cap Health Care Equipment & Services,NQUSS4530,USD,other_indices,global_indices
united states,NQ US Small Cap Health Care,NASDAQ US Small Cap Health Care,NQUSS4000,USD,other_indices,global_indices
united states,NQ US Small Cap Tobacco,NASDAQ US Small Cap Tobacco,NQUSS3780,USD,other_indices,global_indices
united states,NQ US Small Cap Personal Products,NASDAQ US Small Cap Personal Products,NQUSS3767,USD,other_indices,global_indices
united states,NQ US Small Cap Footwear,NASDAQ US Small Cap Footwear,NQUSS3765,USD,other_indices,global_indices
united states,NQ US Small Cap Medical Equipment,NASDAQ US Small Cap Medical Equipment,NQUSS4535,USD,other_indices,global_indices
united states,NQ US Small Cap Apparel Retailers,NASDAQ US Small Cap Apparel Retailers,NQUSS5371,USD,other_indices,global_indices
united states,NQ US Small Cap Broadline Retailers,NASDAQ US Small Cap Broadline Retailers,NQUSS5373,USD,other_indices,global_indices
united states,NQ US Small Cap Home Improvement Retailers,NASDAQ US Small Cap Home Improvement Retailers,NQUSS5375,USD,other_indices,global_indices
united states,NQ US Mid Cap Health Care Providers,NASDAQ US Mid Cap Health Care Providers,NQUSM4533,USD,other_indices,global_indices
united states,NQ US Sml Cap Telecommunicati,NASDAQ US Sml Cap Telecommunicati,NQUSS6000,USD,other_indices,global_indices
united states,NQ US Small Cap Travel & Tourism,NASDAQ US Small Cap Travel & Tourism,NQUSS5759,USD,other_indices,global_indices
united states,NQ US Small Cap Restaurants & Bars,NASDAQ US Small Cap Restaurants & Bars,NQUSS5757,USD,other_indices,global_indices
united states,NQ US Small Cap Recreational Services,NASDAQ US Small Cap Recreational Services,NQUSS5755,USD,other_indices,global_indices
united states,NQ US Small Cap Hotels,NASDAQ US Small Cap Hotels,NQUSS5753,USD,other_indices,global_indices
united states,NQ US Small Cap Gambling,NASDAQ US Small Cap Gambling,NQUSS5752,USD,other_indices,global_indices
